gene,gscore,druggable,A,B
A2M,0.0749999999999999972,True,True,False
ABL2,0.25,True,True,False
ABR,0.225000000000000006,False,True,False
ACACA,0.329500000000000015,True,True,True
ACAN,0.0749999999999999972,True,True,False
ACAP1,0.149999999999999994,False,True,True
ACOT1,0.0749999999999999972,False,True,False
ACVR2A,0.456100000000000005,False,True,True
ACY1,0.0749999999999999972,True,True,False
ACYP2,0.283499999999999974,True,True,False
ADAM19,0.149999999999999994,False,True,True
ADAM3A,0.0749999999999999972,False,True,False
ADAM5,0,False,True,False
ADARB2,0.269600000000000006,False,True,False
ADNP2,0.0749999999999999972,False,True,False
AEBP1,0.149999999999999994,False,True,True
AFF3,0.36349999999999999,False,True,True
AFF4,0.40239999999999998,False,True,True
AGRN,0.149999999999999994,False,True,True
AHNAK,0.125,False,True,False
AIM1,0.149999999999999994,False,True,False
AKAP11,0.174999999999999989,False,True,False
AKR1B15,0.0749999999999999972,False,True,True
AKR7A3,0.149999999999999994,False,True,True
ALK,0.349999999999999978,True,True,True
ALOX15,0.370499999999999996,False,True,False
ALPK2,0.550799999999999956,False,True,False
AMOT,0.0749999999999999972,False,True,False
AMPH,0.25,False,True,False
ANAPC4,0.149999999999999994,False,True,True
ANKRD20A9P,0,False,True,False
ANKRD36B,0.0749999999999999972,False,True,False
AOC1,0,True,True,False
APC,0.740800000000000014,False,True,True
APOBEC3B,0.25,False,True,False
AR,0.349999999999999978,True,True,True
ARHGAP22,0.0749999999999999972,False,True,False
ARHGAP6,0.0749999999999999972,False,True,False
ARHGEF18,0.0749999999999999972,False,True,False
ARL5C,0.0749999999999999972,False,True,True
ASAH2,0.0749999999999999972,False,True,False
ASB9,0.0749999999999999972,False,True,False
ASXL3,0.0749999999999999972,False,True,False
ATAD1,0.149999999999999994,False,True,True
ATAD2,0.149999999999999994,False,True,False
ATP8B3,0.149999999999999994,False,True,False
ATP9B,0.149999999999999994,False,True,True
ATXN1,0.0749999999999999972,False,True,False
AUTS2,0.149999999999999994,False,True,False
AWAT1,0.0749999999999999972,False,True,False
BAP1,0.525000000000000022,False,True,False
BCL11A,0.543599999999999972,False,True,True
BCL2,0.627099999999999991,True,True,True
BCL9,0.325000000000000011,False,True,True
BET1L,0.0749999999999999972,False,True,True
BICD2,0.149999999999999994,False,True,False
BIN3,0.149999999999999994,False,True,False
BIRC6,0.437199999999999978,False,True,True
BRAF,0.693699999999999983,True,True,True
BRD3,0.421300000000000008,False,True,False
BRD4,0.454900000000000027,False,True,False
BRWD3,0.0749999999999999972,False,True,True
BTNL3,0.0749999999999999972,False,True,False
BTNL8,0.149999999999999994,False,True,True
C10orf11,0.0749999999999999972,False,True,False
C16orf95,0,False,True,True
