TCGA	Vulcanspot
ACC	ADRENAL_CORTEX
BLCA	URINARY_TRACT
BRCA	BREAST
CESC	CERVIX
CHOL	BILIARY_TRACT
COAD	LARGE_INTESTINE
DLBC	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ESCA	OESOPHAGUS
GBM	CENTRAL_NERVOUS_SYSTEM
HNSC	UPPER_AERODIGESTIVE_TRACT
KICH	KIDNEY
KIRC	KIDNEY
KIRP	KIDNEY
LAML	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
LGG	CENTRAL_NERVOUS_SYSTEM
LIHC	LIVER
LUAD	LUNG
LUSC	LUNG
MESO	PLEURA
OV	OVARY
PAAD	PANCREAS
PCPG	AUTONOMIC_GANGLIA
PRAD	PROSTATE
READ	LARGE_INTESTINE
SARC	SOFT_TISSUE
SKCM	SKIN
STAD	STOMACH
TGCT	TESTIS
THCA	THYROID
THYM	NONE
UCEC	ENDOMETRIUM
UCS	ENDOMETRIUM
UVM	UVEA
