Gene Symbol,Gene ID,Cytoband
CDK11A,0,1p36.33
NADK,0,1p36.33
PRKCZ,0,1p36.33
GNB1,0,1p36.33
SDF4,0,1p36.33
DVL1,0,1p36.33
MORN1,0,1p36.32
INTS11,0,1p36.33
ACAP3,0,1p36.33
C1orf159,0,1p36.33
MMEL1,0,1p36.32
CFAP74,0,1p36.33
PRDM16,0,1p36.32
PLCH2,0,1p36.32
PRXL2B,0,1p36.32
TNFRSF14,0,1p36.32
PANK4,0,1p36.32
PEX10,0,1p36.32
RER1,0,1p36.32
SKI,0,1p36.33
ATAD3B,0,1p36.33
SSU72,0,1p36.33
UBE2J2,0,1p36.33
TTLL10,0,1p36.33
SCNN1D,0,1p36.33
MXRA8,0,1p36.33
FAAP20,0,1p36.33
ACTRT2,0,1p36.32
CALML6,0,1p36.33
TAS1R3,0,1p36.33
PUSL1,0,1p36.33
AURKAIP1,0,1p36.33
B3GALT6,0,1p36.33
TMEM52,0,1p36.33
VWA1,0,1p36.33
C1QTNF12,0,1p36.33
OR4F5,0,1p36.33
TNFRSF4,0,1p36.33
TNFRSF18,0,1p36.33
PLEKHN1,0,1p36.33
ISG15,0,1p36.33
SAMD11,0,1p36.33
PERM1,0,1p36.33
GABRD,0,1p36.33
KLHL17,0,1p36.33
AGRN,0,1p36.33
HES4,0,1p36.33
NOC2L,0,1p36.33
SLC35E2B,0,1p36.33
MMP23B,0,1p36.33
MIB2,0,1p36.33
ATAD3A,0,1p36.33
HES5,0,1p36.32
TMEM240,0,1p36.33
TMEM88B,0,1p36.33
SLC35E2A,0,1p36.33
TTC34,0,1p36.32
ATAD3C,0,1p36.33
CCNL2,0,1p36.33
CPTP,0,1p36.33
FNDC10,0,1p36.33
ANKRD65,0,1p36.33
RNF223,0,1p36.33
MRPL20,0,1p36.33
CDK11B,0,1p36.33
,0,1p36.33
,0,1p36.33
,0,1p36.33
WASH9P,0,1p36.33
FO538757.1,0,1p36.33
ARHGEF16,0,1p36.32
MEGF6,0,1p36.32
TPRG1L,0,1p36.32
WRAP73,0,1p36.32
TP73,0,1p36.32
CCDC27,0,1p36.32
SMIM1,0,1p36.32
LRRC47,0,1p36.32
CEP104,0,1p36.32
DFFB,0,1p36.32
C1orf174,0,1p36.32
AJAP1,0,1p36.32
NPHP4,0,1p36.31
KCNAB2,0,1p36.31
CHD5,0,1p36.31
RPL22,0,1p36.31
RNF207,0,1p36.31
ICMT,0,1p36.31
GPR153,0,1p36.31
HES3,0,1p36.31
ACOT7,0,1p36.31
HES2,0,1p36.31
ESPN,0,1p36.31
PLEKHG5,0,1p36.31
TNFRSF25,0,1p36.31
NOL9,0,1p36.31
TAS1R1,0,1p36.31
ZBTB48,0,1p36.31
KLHL21,0,1p36.31
THAP3,0,1p36.31
PHF13,0,1p36.31
DNAJC11,0,1p36.31
CAMTA1,0,1p36.31
VAMP3,0,1p36.23
PER3,0,1p36.23
UTS2,0,1p36.23
TNFRSF9,0,1p36.23
PARK7,0,1p36.23
ERRFI1,0,1p36.23
SLC45A1,0,1p36.23
RERE,0,1p36.23
ENO1,0,1p36.23
CA6,0,1p36.23
SLC2A7,0,1p36.23
SLC2A5,0,1p36.23
GPR157,0,1p36.22
H6PD,0,1p36.22
SPSB1,0,1p36.22
SLC25A33,0,1p36.22
TMEM201,0,1p36.22
PIK3CD,0,1p36.22
CLSTN1,0,1p36.22
AL357140.3,0,1p36.22
CTNNBIP1,0,1p36.22
LZIC,0,1p36.22
NMNAT1,0,1p36.22
RBP7,0,1p36.22
UBE4B,0,1p36.22
KIF1B,0,1p36.22
PGD,0,1p36.22
CENPS,0,1p36.22
CENPS-CORT,0,1p36.22
CORT,0,1p36.22
DFFA,0,1p36.22
PEX14,0,1p36.22
CASZ1,0,1p36.22
C1orf127,0,1p36.22
TARDBP,0,1p36.22
AL109811.3,0,1p36.22
MASP2,0,1p36.22
SRM,0,1p36.22
EXOSC10,0,1p36.22
MTOR,0,1p36.22
ANGPTL7,0,1p36.22
UBIAD1,0,1p36.22
DISP3,0,1p36.22
FBXO2,0,1p36.22
FBXO44,0,1p36.22
FBXO6,0,1p36.22
MAD2L2,0,1p36.22
DRAXIN,0,1p36.22
AGTRAP,0,1p36.22
C1orf167,0,1p36.22
MTHFR,0,1p36.22
CLCN6,0,1p36.22
NPPA,0,1p36.22
NPPB,0,1p36.22
KIAA2013,0,1p36.22
PLOD1,0,1p36.22
MFN2,0,1p36.22
MIIP,0,1p36.22
TNFRSF8,0,1p36.22
TNFRSF1B,0,1p36.22
VPS13D,0,1p36.22
DHRS3,0,1p36.21
AADACL4,0,1p36.21
AADACL3,0,1p36.21
C1orf158,0,1p36.21
PRAMEF1,0,1p36.21
PRAMEF12,0,1p36.21
PRAMEF2,0,1p36.21
HNRNPCL1,0,1p36.21
HNRNPCL4,0,1p36.21
PRAMEF8,0,1p36.21
PRAMEF10,0,1p36.21
PRAMEF20,0,1p36.21
PRAMEF17,0,1p36.21
PRAMEF19,0,1p36.21
PRAMEF14,0,1p36.21
PRAMEF15,0,1p36.21
PRAMEF9,0,1p36.21
PRAMEF7,0,1p36.21
PRAMEF25,0,1p36.21
PRAMEF6,0,1p36.21
PRAMEF11,0,1p36.21
PRAMEF4,0,1p36.21
PRAMEF5,0,1p36.21
PRAMEF27,0,1p36.21
HNRNPCL2,0,1p36.21
HNRNPCL3,0,1p36.21
PRAMEF7,0,1p36.21
PRAMEF18,0,1p36.21
PRAMEF26,0,1p36.21
LRRC38,0,1p36.21
PDPN,0,1p36.21
PRDM2,0,1p36.21
KAZN,0,1p36.21
TMEM51,0,1p36.21
C1orf195,0,1p36.21
FHAD1,0,1p36.21
EFHD2,0,1p36.21
CTRC,0,1p36.21
CELA2A,0,1p36.21
CELA2B,0,1p36.21
CASP9,0,1p36.21
DNAJC16,0,1p36.21
AGMAT,0,1p36.21
DDI2,0,1p36.21
RSC1A1,0,1p36.21
PLEKHM2,0,1p36.21
FBLIM1,0,1p36.21
TMEM82,0,1p36.21
SLC25A34,0,1p36.21
UQCRHL,0,1p36.21
SPEN,0,1p36.21
ZBTB17,0,1p36.13
SRARP,0,1p36.13
HSPB7,0,1p36.13
CLCNKB,0,1p36.13
FAM131C,0,1p36.13
CLCNKA,0,1p36.13
EPHA2,0,1p36.13
ARHGEF19,0,1p36.13
CPLANE2,0,1p36.13
FBXO42,0,1p36.13
SZRD1,0,1p36.13
SPATA21,0,1p36.13
NECAP2,0,1p36.13
CROCC,0,1p36.13
MFAP2,0,1p36.13
ATP13A2,0,1p36.13
NBPF1,0,1p36.13
,0,1p36.13
,0,1p36.13
,0,1p36.13
SDHB,0,1p36.13
PADI2,0,1p36.13
PADI1,0,1p36.13
PADI3,0,1p36.13
PADI4,0,1p36.13
,0,1p36.13
PADI6,0,1p36.13
RCC2,0,1p36.13
ARHGEF10L,0,1p36.13
ACTL8,0,1p36.13
IGSF21,0,1p36.13
KLHDC7A,0,1p36.13
PAX7,0,1p36.13
TAS1R2,0,1p36.13
AL080251.1,0,1p36.13
ALDH4A1,0,1p36.13
IFFO2,0,1p36.13
UBR4,0,1p36.13
EMC1,0,1p36.13
MRTO4,0,1p36.13
AKR7A3,0,1p36.13
AKR7A2,0,1p36.13
SLC66A1,0,1p36.13
CAPZB,0,1p36.13
MICOS10,0,1p36.13
MICOS10-NBL1,0,1p36.13
NBL1,0,1p36.13
HTR6,0,1p36.13
TMCO4,0,1p36.13
RNF186,0,1p36.13
OTUD3,0,1p36.13
PLA2G2E,0,1p36.13
PLA2G2A,0,1p36.13
PLA2G5,0,1p36.13
PLA2G2D,0,1p36.12
PLA2G2F,0,1p36.12
PLA2G2C,0,1p36.12
UBXN10,0,1p36.12
VWA5B1,0,1p36.12
CAMK2N1,0,1p36.12
MUL1,0,1p36.12
FAM43B,0,1p36.12
CDA,0,1p36.12
PINK1,0,1p36.12
DDOST,0,1p36.12
KIF17,0,1p36.12
SH2D5,0,1p36.12
HP1BP3,0,1p36.12
EIF4G3,0,1p36.12
ECE1,0,1p36.12
NBPF3,0,1p36.12
ALPL,0,1p36.12
RAP1GAP,0,1p36.12
USP48,0,1p36.12
LDLRAD2,0,1p36.12
HSPG2,0,1p36.12
